sw,op,arch,func,file_name,response
openssl-101f,O0,arm,BN_GF2m_mod_sqr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr@0011fd4c.c,"The function BN_GF2m_mod_sqr computes the square of a binary polynomial represented as a BIGNUM in GF(2^m) field by allocating memory, iterating over the bits of the input polynomial, counting leading zeroes, determining the number of words needed, calling BN_GF2m_mod_sqr_arr to compute the square of the polynomial, and freeing memory before returning the result. If there is an error, it sets an error code using the ERR_put_error function."
openssl-101f,O0,arm,BN_GF2m_mod_sqrt,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqrt@0012057c.c,"The function BN_GF2m_mod_sqrt computes the square root of a given BIGNUM in the finite field GF(2^m) where m is a positive integer. It takes four parameters: a pointer to the BIGNUM where the result will be stored (param_1), an integer (param_2), a pointer to the modulus BIGNUM (param_3), and a pointer to a BN_CTX structure (param_4) used for temporary storage. The function first computes the number of bits in the modulus BIGNUM and allocates an array of integers to store the positions of the non-zero bits in the modulus. It then computes the number of non-zero bits in the modulus and uses this value to determine the degree of the field extension. If the degree is zero, the function sets the result BIGNUM to zero and returns 1. Otherwise, it computes the square root of the input BIGNUM using a polynomial basis representation of the finite field elements."
openssl-101f,O0,arm,BN_GF2m_mod_sqr_arr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr_arr@0011f9e4.c,"The function BN_GF2m_mod_sqr_arr takes in four parameters: an integer, an integer array, an integer, and a BN_CTX pointer. It allocates memory for a BIGNUM struct using the BN_CTX_get function, expands the BIGNUM struct if necessary, performs a squaring operation on the input array using a precomputed table of values, trims leading zeros from the BIGNUM struct, computes the modulo 2m of the result using the BN_GF2m_mod_arr function, frees any memory used by the BN_CTX struct, and returns."
openssl-101f,O0,arm,bn_GF2m_mul_2x2,./data/decomp/openssl-101f_arm_gcc_O0_extraction/bn_GF2m_mul_2x2@00122700.c,"The `bn_GF2m_mul_2x2` function multiplies two polynomials of degree less than `m` in the finite field GF(2^m) using Karatsuba's algorithm. It uses either the `mul_1x1_neon` function or the `mul_1x1_ialu` function to perform the multiplication, depending on whether or not the CPU supports NEON instructions. The results are combined using Karatsuba's algorithm and returned as a `ulonglong`."
openssl-101f,O0,arm,BN_kronecker,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_kronecker@0011ef30.c,"The function BN_kronecker computes the Kronecker symbol of two BIGNUMs a and b, which is a generalization of the Legendre symbol. It returns an integer value representing the Kronecker symbol of a and b. The function first initializes two BIGNUM variables a_00 and a_01 using BN_CTX_start and BN_CTX_get functions. It then copies the values of a and b into these variables using the BN_copy function. Next, the function checks if the top value of a_01 is equal to zero. If it is, the function checks if the top value of a_00 is equal to one and returns a value based on the count of leading zeroes of the first digit of a_00. If the top value of a_01 is not zero, the function checks if the top value of a_00 is less than one or greater than or equal to negative one. If it is, the function checks if the least significant bit of a."
openssl-101f,O0,arm,by_dir_entry_free,./data/decomp/openssl-101f_arm_gcc_O0_extraction/by_dir_entry_free@000cf7d4.c,"The function ""by_dir_entry_free"" frees memory pointed to by a pointer, a stack, and a hash table. It takes a pointer to a pointer as its parameter and checks if the value stored in the pointer is not null. If it's not null, the function frees the memory pointed to by the pointer using the ""CRYPTO_free"" function. It also checks if the value stored in the third element of the pointer (which is assumed to be a pointer to a stack) is not null. If it's not null, the function frees the memory occupied by the stack using the ""sk_pop_free"" function. The second parameter to this function is a pointer to a function ""by_dir_hash_free + 1"", which is presumably a function that frees the memory occupied by a hash table. Finally, the function frees the memory occupied by the original pointer using the ""CRYPTO_free"" function."
openssl-101f,O0,arm,d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS@0011b23c.c,"The ""d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS"" function converts DER encoded data to an internal representation of GOST client key exchange parameters. It takes three arguments: a pointer to an ASN1_VALUE, a double pointer to a uchar, and a long integer specifying the length of the encoded data. The function uses the ASN1_item_d2i() function and an ASN1_ITEM pointer to the structure defining the parameters. It does not have a return value."
openssl-101f,O0,arm,d2i_GOST_KEY_PARAMS,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_KEY_PARAMS@0011b1dc.c,"The function takes in a pointer to an ASN1_VALUE, a double pointer to a uchar, and a long integer. It calls the ASN1_item_d2i function with these parameters, along with a pointer to an ASN1_ITEM structure representing the GOST_KEY_PARAMS type. The ASN1_item_d2i function decodes the binary data pointed to by param_2 into a GOST_KEY_PARAMS structure and stores it in the memory location pointed to by param_1. The function then returns without any explicit return value."
openssl-101f,O0,arm,decode_gost_algor_params,./data/decomp/openssl-101f_arm_gcc_O0_extraction/decode_gost_algor_params@00119d30.c,"The function decodes the parameters for GOST algorithms from an EVP_PKEY and a X509_ALGOR structure. It extracts the algorithm parameters from the X509_ALGOR structure and checks if the algorithm is a GOST algorithm. If it is, the function decodes the parameters and sets them in the EVP_PKEY structure. 

If the algorithm is a GOST 2001 algorithm, the function creates a new EC_KEY structure if one does not already exist in the EVP_PKEY, and fills it with the decoded parameters. If the algorithm is a GOST 94 algorithm, the function creates a new DSA structure if one does not already exist in the EVP_PKEY, and fills it with the decoded parameters.

The function returns a pointer to an ASN1_OBJECT structure containing the decoded parameters, or NULL if an error occurs."
openssl-101f,O0,arm,DES_xcbc_encrypt,./data/decomp/openssl-101f_arm_gcc_O0_extraction/DES_xcbc_encrypt@0011e488.c,"Two functions are described. 

Function 1: 

The function takes in an input byte array, an output byte array, a length of the input array, a DES key schedule, an initialization vector (IV), two constant DES cblocks, and a flag indicating whether to encrypt or decrypt. 

If the flag is set to encrypt, the function first extracts certain values from the IV and the constant cblocks. It then processes the input array in blocks of 8 bytes, XORing the current block with the previous output block and the extracted values, performing a DES encryption on the result, and storing the encrypted block in the output array. 

If the length of the input array is not a multiple of 8, the function processes the remaining bytes by padding with zeros and performing another DES encryption. 

If the flag is set to decrypt, the function performs the same operations as for encryption, but in reverse order.

Function 2: 

The function takes in an input buffer, an output buffer, a length, and an initialization vector (ivec). It performs triple DES encryption on the input buffer using the provided key schedule and ivec. The output is written to the output buffer.

The function first checks if the length of the input buffer is less than 8 bytes. If so, it performs a single DES encryption on the input buffer and writes the output to the output buffer. It then updates the ivec with the output of the encryption.

If the length of the input buffer is greater than or equal to 8 bytes, the function performs triple DES encryption on the input buffer in blocks of 8 bytes. It updates the ivec after each block encryption. If there is a partial block at the end of the input buffer, the function performs single DES encryption on the partial block and writes the output to the output buffer.

The function returns the updated ivec."
openssl-101f,O0,arm,dgram_ctrl,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dgram_ctrl@000a4f0c.c,"The functions `dgram_ctrl` and `pointer_switch` both use a switch statement to perform various actions based on input parameters. They also both initialize local variables and may set values in arrays or variables passed as parameters. `dgram_ctrl` takes four parameters while `pointer_switch` takes a pointer to a structure, a pointer to a buffer, and the size of the buffer. If an error occurs, `pointer_switch` calls `__stack_chk_fail`."
openssl-101f,O0,arm,dlfcn_bind_func,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_func@00121a68.c,"The function takes two integer parameters, param_1 and param_2. If both parameters are not equal to zero, the function initializes a void pointer called pvVar4 to zero. It then checks if the number of elements in a stack pointed to by the value at the memory address param_1 + 4 is less than 1. If it is, an error is generated using the ERR_put_error function. If the number of elements in the stack is greater than or equal to 1, the function retrieves the last value in the stack and assigns it to pvVar4. If pvVar4 is equal to zero, an error is generated using the ERR_put_error function. Otherwise, the function calls the dlsym function with pvVar4 and param_2 as arguments and assigns the resulting value to pvVar4. If pvVar4 is equal to zero, an error is generated using the ERR_put_error function and the dlerror function is called to retrieve additional error."
openssl-101f,O0,arm,dlfcn_bind_var,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_var@00121b3c.c,"The function `dlfcn_bind_var` takes in two parameters `param_1` and `param_2`. If both parameters are not equal to 0, it proceeds to initialize a variable `pvVar4` to NULL. It then checks the number of items in a stack pointed to by `param_1 + 4`. If the number of items is less than 1, it logs an error using the `ERR_put_error` function. Otherwise, it retrieves the last item from the stack and stores it in `pvVar4`. If `pvVar4` is NULL, it logs an error using the `ERR_put_error` function. If `pvVar4` is not NULL, it attempts to find the symbol with the name specified in `param_2` using the `dlsym` function. If the symbol is not found, it logs an error using `ERR_put_error` and retrieves the error."
openssl-101f,O0,arm,dlfcn_globallookup,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_globallookup@00121880.c,"The function uses the dlfcn library to dynamically load a shared library and look up a symbol within it. It takes four parameters, but only uses the first and third parameters. First, it calls dlopen() with a null pointer for the shared library name and a flag indicating that the library should be loaded into the global scope. If dlopen() succeeds, it returns a handle to the loaded library, which is stored in iVar1. Next, the function calls dlsym() with the handle to the loaded library (iVar1) and the symbol name (param_1) that it wants to look up. If dlsym() succeeds, it returns the address of the symbol, which is stored in iVar2. Finally, the function calls dlclose() with the handle to the loaded library (iVar1) to free the resources associated with the library. Then it returns the address of the symbol (iVar2) that was looked up with dlsym(). If either dlopen() or dlsym() fails, the function returns NULL."
openssl-101f,O0,arm,ec_GFp_mont_field_encode,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_encode@00120c80.c,"The function takes four parameters: an integer, a BIGNUM pointer, another BIGNUM pointer, and a BN_CTX pointer. If ""mont"" is not null, the function computes the product of the second and third parameters using Montgomery multiplication with the Montgomery context ""mont"". It stores the result in the first parameter and returns 1. If ""mont"" is null, the function generates an error using the ERR_put_error function and returns 0. The function first dereferences a BN_MONT_CTX pointer from the integer parameter + 0xa0 offset and assigns it to a local variable named ""mont""."
openssl-101f,O0,arm,ec_GFp_mont_field_sqr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_sqr@00120c48.c,"The function implements squaring in a Montgomery field for elliptic curve cryptography. It takes four parameters: an integer param_1, two BIGNUM parameters param_2 and param_3, and a BN_CTX parameter param_4. It first checks if a BN_MONT_CTX pointer is set in the context information (param_1 + 0xa0). If it is not NULL, it uses the BN_mod_mul_montgomery function to compute the square of param_3 in the Montgomery field using the Montgomery context, and stores the result in param_2. If the BN_MONT_CTX pointer is NULL, the function generates an error using the ERR_put_error function and returns 0."
openssl-101f,O0,arm,ec_GFp_mont_group_init,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_group_init@00120a24.c,"The function initializes a Montgomery elliptic curve group by calling ec_GFp_simple_group_init() to initialize a simple elliptic curve group. It sets two variables to zero, likely used to store parameters specific to the Montgomery curve, and returns."
openssl-101f,O0,arm,ec_GFp_simple_get_Jprojective_coordinates_GFp,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_get_Jprojective_coordinates_GFp@00122b5c.c,"This function computes the J-projective coordinates of a point on an elliptic curve over a finite field. It takes as input the curve parameters, the x and y coordinates of the point, and optionally a z coordinate and a BN_CTX object. 

If the curve parameters have not been initialized, the function copies the x and y coordinates into the appropriate parameters, and optionally copies the z coordinate. If any of these copy operations fail, the function returns NULL. 

If the curve parameters have been initialized, the function computes the J-projective coordinates using the curve parameters and the x, y, and z coordinates. It stores the result in the appropriate parameters (if provided). If any of these computations fail, the function returns NULL."
openssl-101f,O0,arm,ec_GFp_simple_group_check_discriminant,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_check_discriminant@00122c6c.c,"The function checks if a given elliptic curve group has a valid discriminant. It takes an integer pointer and a BN_CTX pointer as input, and initializes BIGNUM variables using BN_CTX_get(). If the group has a custom discriminant calculation function, it uses that to compute the discriminant. Otherwise, it computes the discriminant using the standard formula. It then checks if the discriminant is non-zero, and returns 0 if it is zero (indicating an invalid group) or the discriminant if it is non-zero."
openssl-101f,O0,arm,ec_GFp_simple_group_clear_finish,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_clear_finish@00122914.c,"The function `ec_GFp_simple_group_clear_finish` takes an integer `param_1` as input, which is likely a pointer to a structure representing an elliptic curve group. The function frees memory allocated for the group's parameters, such as the curve coefficients and order, by calling `BN_clear_free` on three `BIGNUM` pointers located at offsets `0x48`, `0x74`, and `0x88` from the beginning of the structure. The function then returns."
openssl-101f,O0,arm,ec_GFp_simple_group_copy,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_copy@001232e8.c,"The function copies the values of three BIGNUM structures from one EC_GROUP object to another. It takes two integer parameters representing the memory addresses of the two EC_GROUP objects and returns a pointer to a BIGNUM structure indicating success, or a null pointer if the copying failed. 

The first BN_copy() call copies the value of the prime modulus of the elliptic curve from the second EC_GROUP object to the first. The second BN_copy() call copies the value of the order of the base point of the elliptic curve from the second EC_GROUP object to the first. The third BN_copy() call copies the value of the cofactor of the elliptic curve from the second EC_GROUP object to the first. 

If all three copying operations are successful, the function sets a flag in the first EC_GROUP object to indicate that it has the same parameters as the second EC_GROUP object. The function then returns a pointer to a BIGNUM structure with the value 1."
openssl-101f,O0,arm,ec_GFp_simple_group_get_degree,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_get_degree@00122954.c,"The function takes an integer parameter `param_1`, extracts the order of the elliptic curve group, calculates its bit length using `BN_num_bits()` from the OpenSSL library, and returns the bit length as the degree of the curve."
openssl-101f,O0,arm,ec_GFp_simple_group_set_curve,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_set_curve@0012335c.c,"The function `ec_GFp_simple_group_set_curve` takes in five parameters: `param_1`, `param_2`, `param_3`, `param_4`, and `param_5`. `param_1` is a pointer to an array of integers, `param_2`, `param_3`, and `param_4` are pointers to `BIGNUM` structures, and `param_5` is a pointer to a `BN_CTX` structure. The function first checks if the number of bits in `param_2` is greater than or equal to 3, if `param_2` has at least one word, and if the most significant bit of the first word of `param_2` is not set. If any of these conditions are not met, an error is thrown and the function returns 0. If `param_5` is not provided, a new `BN_CTX` structure is created. If this fails, an error is thrown."
openssl-101f,O0,arm,ec_GFp_simple_invert,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_invert@00123a50.c,"The function takes in an EC_GROUP object and an EC_POINT object as parameters. It checks if the EC_POINT is at infinity or not using the EC_POINT_is_at_infinity() function. If the point is not at infinity and the y-coordinate of the point is not zero, it performs a subtraction of the EC_POINT's y-coordinate from the EC_GROUP's order using the BN_usub() function. The result of the subtraction is returned as the output of the function. If the point is at infinity or the y-coordinate is zero, the function returns 1."
openssl-101f,O0,arm,EC_GFp_simple_method,./data/decomp/openssl-101f_arm_gcc_O0_extraction/EC_GFp_simple_method@00124068.c,"The function returns a pointer to an EC_METHOD structure named ""ret_9588"" with an unknown calling convention. The parameter storage is locked, indicating the function may not modify input parameters."
openssl-101f,O0,arm,ec_GFp_simple_point_copy,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_copy@00123324.c,"The function ec_GFp_simple_point_copy copies the x, y, and z coordinates of an elliptic curve point represented by param_2 to the point represented by param_1. It uses BN_copy from OpenSSL's BigNumber library to copy the BIGNUM values. If all three calls to BN_copy succeed, the function sets the point format indicator in the destination point to match the source point and returns a pointer to a BIGNUM with value 1. If any of the calls to BN_copy fail, the function returns a null pointer."
openssl-101f,O0,arm,ec_GFp_simple_point_finish,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_finish@001228f4.c,"The function frees three BIGNUM structures located at specific offsets from an integer parameter representing an elliptic curve point, and does not return a value."
openssl-101f,O0,arm,ec_GFp_simple_point_get_affine_coordinates,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_get_affine_coordinates@00122dd4.c,"The function takes an EC_POINT object and an EC_GROUP object as input and returns the affine coordinates of the point as BIGNUM objects. It checks if the point is at infinity and initializes a BN_CTX object if one is not provided. If the point is not at infinity, it calculates the inverse of the x-coordinate modulo the order of the curve and stores it in a BIGNUM object. It then calculates the square of the inverse and stores it in another BIGNUM object. If param_3 is not NULL, it sets it to the x-coordinate of the point."
openssl-101f,O0,arm,ec_GFp_simple_point_set_affine_coordinates,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_set_affine_coordinates@0012347c.c,"The function takes an EC_GROUP object, an EC_POINT object, two BIGNUM objects representing affine coordinates, and a BN_CTX object for temporary storage. If both affine coordinates are not NULL, the function sets the J-projective coordinates of the point using the affine coordinates and returns the result of EC_POINT_set_Jprojective_coordinates_GFp. If either affine coordinate is NULL, the function generates an error using the ERR_put_error function and returns 0."
openssl-101f,O0,arm,encode_gost_algor_params,./data/decomp/openssl-101f_arm_gcc_O0_extraction/encode_gost_algor_params@0011a494.c,"The function encodes GOST algorithm parameters into an ASN1_STRING structure by taking an EVP_PKEY structure as input. It creates a new ASN1_STRING structure and a new GOST_KEY_PARAMS structure, determines the type of key, extracts the curve name or parameter set, finds the corresponding OID, encodes the GOST_KEY_PARAMS structure into the ASN1_STRING structure, and sets the type to 0x10. If any allocation or encoding fails, it frees the structures and returns NULL."
openssl-101f,O0,arm,get_gost_engine_param,./data/decomp/openssl-101f_arm_gcc_O0_extraction/get_gost_engine_param@0011c1d4.c,"The function takes an integer parameter called ""param_1"" and returns a pointer to a character array (string). If ""param_1"" is not equal to zero, the function returns a null pointer. Otherwise, it checks if a global variable called ""gost_params"" is null. If it is, the function attempts to retrieve the value of the environment variable ""CRYPT_PARAMS"" using the getenv() function. If this environment variable is not set, the function returns a null pointer. Otherwise, it allocates memory for the ""gost_params"" variable using the BUF_strdup() function, which copies the value of the ""CRYPT_PARAMS"" environment variable into the newly allocated memory. Finally, the function returns a pointer to the ""gost_params"" variable."
openssl-101f,O0,arm,gost2001_param_encode,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost2001_param_encode@0011a024.c,The function extracts an EC_KEY object from an EVP_PKEY object and retrieves the associated EC_GROUP object. It then converts the curve name into an ASN1_OBJECT using the OBJ_nid2obj function and encodes it into a binary format using the i2d_ASN1_OBJECT function. The encoded parameters can be transmitted or stored as needed.
openssl-101f,O0,arm,gost_cipher_cleanup,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_cleanup@0011b394.c,"The function takes an integer parameter and uses it to access specific memory addresses. It calls the gost_destroy function on a memory address calculated by adding 0xc to the value stored at the memory address (param_1 + 0x60). This likely cleans up and deallocates any resources used by the GOST cipher algorithm. It then sets the value at memory address (param_1 + 0x54) to 0, possibly indicating that the cleanup was successful. Finally, it returns the value 1."
openssl-101f,O0,arm,gost_cipher_ctl,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_ctl@0011b7dc.c,"The `gost_cipher_ctl` function takes four parameters: `param_1`, `param_2`, `param_3`, and `param_4`. If `param_2` is equal to 6, the function calls the `RAND_bytes` function to generate random bytes and stores them in the memory location pointed to by `param_4`. If the function call to `RAND_bytes` is successful, the function returns 1. Otherwise, it calls the `ERR_GOST_error` function with error codes and returns -1. If `param_2` is equal to 7 and `param_4` is not NULL, the function sets the value at the memory location pointed to by `param_4` to 0x32a and returns 1. Otherwise, it returns 0. If `param_2` is not equal to 6 or 7, the function calls the `ERR_GOST_error` function with error codes and returns."
