g0_sw,g0_op,g0_arch,g0_func,g0_filename,g1_sw,g1_op,g1_arch,g1_func,g1_filename,ground_truth
openssl-101f,O0,arm,7,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod@0011f940.c,openssl-101u,O2,x86,7,./data/decomp/openssl-101u_x86_gcc_O2_extraction/BN_GF2m_mod@081dfe00.c,1
openssl-101f,O0,arm,8,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_arr@0011f71c.c,openssl-101u,O0,arm,8,./data/decomp/openssl-101u_arm_gcc_O0_extraction/BN_GF2m_mod_arr@0011e394.c,1
openssl-101f,O0,arm,9,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div@001201f0.c,openssl-101u,O2,mips,9,./data/decomp/openssl-101u_mips_gcc_O2_extraction/BN_GF2m_mod_div@006258c4.c,1
openssl-101f,O0,arm,5,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_set_prefix@001224ec.c,openssl-101u,O0,x86,11,./data/decomp/openssl-101u_x86_gcc_O0_extraction/BN_GF2m_mod_mul@081e0dc0.c,0
openssl-101f,O0,arm,6,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_add@0011f668.c,openssl-101u,O0,mips,65,./data/decomp/openssl-101u_mips_gcc_O0_extraction/SHA_Final@006215dc.c,0
openssl-101f,O0,arm,7,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod@0011f940.c,openssl-101u,O0,arm,52,./data/decomp/openssl-101u_arm_gcc_O0_extraction/i2d_GOST_KEY_AGREEMENT_INFO@00119e48.c,0
openssl-101f,O0,arm,8,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_arr@0011f71c.c,openssl-101u,O0,mips,85,./data/decomp/openssl-101u_mips_gcc_O0_extraction/load_pkcs12.constprop.4@00459d08.c,0
openssl-101f,O0,arm,9,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div@001201f0.c,openssl-101f,O2,arm,32,./data/decomp/openssl-101f_arm_gcc_O2_extraction/ec_GFp_simple_group_get_degree@00122954.c,0
openssl-101f,O0,arm,10,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div_arr@0012031c.c,openssl-101u,O1,x86,10,./data/decomp/openssl-101u_x86_gcc_O1_extraction/BN_GF2m_mod_div_arr@081e18b0.c,1
openssl-101f,O0,arm,11,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul@0011fc6c.c,openssl-101f,O0,x86,11,./data/decomp/openssl-101f_x86_gcc_O0_extraction/BN_GF2m_mod_mul@081e0b40.c,1
openssl-101f,O0,arm,12,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul_arr@0011fb08.c,openssl-101u,O0,mips,12,./data/decomp/openssl-101u_mips_gcc_O0_extraction/BN_GF2m_mod_mul_arr@00624144.c,1
openssl-101f,O0,arm,13,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr@0011fd4c.c,openssl-101f,O3,arm,13,./data/decomp/openssl-101f_arm_gcc_O3_extraction/BN_GF2m_mod_sqr@0011fd4c.c,1
openssl-101f,O0,arm,14,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqrt@0012057c.c,openssl-101f,O0,x86,14,./data/decomp/openssl-101f_x86_gcc_O0_extraction/BN_GF2m_mod_sqrt@081e1c00.c,1
openssl-101f,O0,arm,10,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div_arr@0012031c.c,openssl-101u,O1,mips,82,./data/decomp/openssl-101u_mips_gcc_O1_extraction/gost_cipher_do_cnt@0061c7ec.c,0
openssl-101f,O0,arm,11,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul@0011fc6c.c,openssl-101u,O2,arm,100,./data/decomp/openssl-101u_arm_gcc_O2_extraction/TLSv1_method@000525b8.c,0
openssl-101f,O0,arm,12,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul_arr@0011fb08.c,openssl-101u,O0,mips,92,./data/decomp/openssl-101u_mips_gcc_O0_extraction/asn1_bio_write.part.1@0062a7fc.c,0
openssl-101f,O0,arm,13,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr@0011fd4c.c,openssl-101f,O2,arm,20,./data/decomp/openssl-101f_arm_gcc_O2_extraction/decode_gost_algor_params@00119d30.c,0
openssl-101f,O0,arm,14,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqrt@0012057c.c,openssl-101f,O3,arm,16,./data/decomp/openssl-101f_arm_gcc_O3_extraction/bn_GF2m_mul_2x2@00122700.c,0
openssl-101f,O0,arm,15,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr_arr@0011f9e4.c,openssl-101u,O3,arm,15,./data/decomp/openssl-101u_arm_gcc_O3_extraction/BN_GF2m_mod_sqr_arr@0011e65c.c,1
openssl-101f,O0,arm,16,./data/decomp/openssl-101f_arm_gcc_O0_extraction/bn_GF2m_mul_2x2@00122700.c,openssl-101u,O1,arm,16,./data/decomp/openssl-101u_arm_gcc_O1_extraction/bn_GF2m_mul_2x2@001213e0.c,1
openssl-101f,O0,arm,17,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_kronecker@0011ef30.c,openssl-101f,O2,arm,17,./data/decomp/openssl-101f_arm_gcc_O2_extraction/BN_kronecker@0011ef30.c,1
openssl-101f,O0,arm,18,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS@0011b23c.c,openssl-101u,O2,arm,18,./data/decomp/openssl-101u_arm_gcc_O2_extraction/d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS@00119ecc.c,1
openssl-101f,O0,arm,19,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_KEY_PARAMS@0011b1dc.c,openssl-101f,O2,x86,19,./data/decomp/openssl-101f_x86_gcc_O2_extraction/d2i_GOST_KEY_PARAMS@081d9bf0.c,1
openssl-101f,O0,arm,15,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr_arr@0011f9e4.c,openssl-101f,O3,arm,3,./data/decomp/openssl-101f_arm_gcc_O3_extraction/asn1_bio_write@001222c4.c,0
openssl-101f,O0,arm,16,./data/decomp/openssl-101f_arm_gcc_O0_extraction/bn_GF2m_mul_2x2@00122700.c,openssl-101u,O2,arm,95,./data/decomp/openssl-101u_arm_gcc_O2_extraction/doapr_outch.constprop.0@0009f7cc.c,0
openssl-101f,O0,arm,17,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_kronecker@0011ef30.c,openssl-101f,O3,mips,27,./data/decomp/openssl-101f_mips_gcc_O3_extraction/ec_GFp_mont_group_init@006277b0.c,0
openssl-101f,O0,arm,18,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS@0011b23c.c,openssl-101f,O1,x86,15,./data/decomp/openssl-101f_x86_gcc_O1_extraction/BN_GF2m_mod_sqr_arr@081dfcf0.c,0
openssl-101f,O0,arm,19,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_KEY_PARAMS@0011b1dc.c,openssl-101u,O1,mips,90,./data/decomp/openssl-101u_mips_gcc_O1_extraction/surewarehk_finish@005d5b74.c,0
openssl-101f,O0,arm,20,./data/decomp/openssl-101f_arm_gcc_O0_extraction/decode_gost_algor_params@00119d30.c,openssl-101u,O1,arm,20,./data/decomp/openssl-101u_arm_gcc_O1_extraction/decode_gost_algor_params@001188d0.c,1
openssl-101f,O0,arm,21,./data/decomp/openssl-101f_arm_gcc_O0_extraction/DES_xcbc_encrypt@0011e488.c,openssl-101u,O0,arm,21,./data/decomp/openssl-101u_arm_gcc_O0_extraction/DES_xcbc_encrypt@0011d0fc.c,1
openssl-101f,O0,arm,22,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_func@00121a68.c,openssl-101u,O1,arm,22,./data/decomp/openssl-101u_arm_gcc_O1_extraction/dlfcn_bind_func@0012070c.c,1
openssl-101f,O0,arm,23,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_var@00121b3c.c,openssl-101u,O3,arm,23,./data/decomp/openssl-101u_arm_gcc_O3_extraction/dlfcn_bind_var@001207e0.c,1
openssl-101f,O0,arm,24,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_globallookup@00121880.c,openssl-101f,O3,x86,24,./data/decomp/openssl-101f_x86_gcc_O3_extraction/dlfcn_globallookup@081e4070.c,1
openssl-101f,O0,arm,20,./data/decomp/openssl-101f_arm_gcc_O0_extraction/decode_gost_algor_params@00119d30.c,openssl-101u,O3,mips,94,./data/decomp/openssl-101u_mips_gcc_O3_extraction/__start@00421520.c,0
openssl-101f,O0,arm,21,./data/decomp/openssl-101f_arm_gcc_O0_extraction/DES_xcbc_encrypt@0011e488.c,openssl-101u,O1,arm,6,./data/decomp/openssl-101u_arm_gcc_O1_extraction/BN_GF2m_add@0011e2e0.c,0
openssl-101f,O0,arm,22,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_func@00121a68.c,openssl-101f,O0,arm,51,./data/decomp/openssl-101f_arm_gcc_O0_extraction/hash_step@0011c248.c,0
openssl-101f,O0,arm,23,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_bind_var@00121b3c.c,openssl-101u,O1,x86,2,./data/decomp/openssl-101u_x86_gcc_O1_extraction/asn1_bio_free@081e50c0.c,0
openssl-101f,O0,arm,24,./data/decomp/openssl-101f_arm_gcc_O0_extraction/dlfcn_globallookup@00121880.c,openssl-101u,O3,x86,4,./data/decomp/openssl-101u_x86_gcc_O3_extraction/BIO_asn1_get_suffix@081e5870.c,0
openssl-101f,O0,arm,25,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_encode@00120c80.c,openssl-101u,O3,x86,25,./data/decomp/openssl-101u_x86_gcc_O3_extraction/ec_GFp_mont_field_encode@081e2b20.c,1
openssl-101f,O0,arm,26,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_sqr@00120c48.c,openssl-101f,O3,mips,26,./data/decomp/openssl-101f_mips_gcc_O3_extraction/ec_GFp_mont_field_sqr@00627cc4.c,1
openssl-101f,O0,arm,27,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_group_init@00120a24.c,openssl-101u,O0,x86,27,./data/decomp/openssl-101u_x86_gcc_O0_extraction/ec_GFp_mont_group_init@081e26d0.c,1
openssl-101f,O0,arm,28,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_get_Jprojective_coordinates_GFp@00122b5c.c,openssl-101u,O2,mips,28,./data/decomp/openssl-101u_mips_gcc_O2_extraction/ec_GFp_simple_get_Jprojective_coordinates_GFp@0062d680.c,1
openssl-101f,O0,arm,29,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_check_discriminant@00122c6c.c,openssl-101f,O1,mips,29,./data/decomp/openssl-101f_mips_gcc_O1_extraction/ec_GFp_simple_group_check_discriminant@0062e1ec.c,1
openssl-101f,O0,arm,25,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_encode@00120c80.c,openssl-101f,O3,arm,9,./data/decomp/openssl-101f_arm_gcc_O3_extraction/BN_GF2m_mod_div@001201f0.c,0
openssl-101f,O0,arm,26,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_field_sqr@00120c48.c,openssl-101u,O2,mips,42,./data/decomp/openssl-101u_mips_gcc_O2_extraction/gost2001_param_encode@006196e8.c,0
openssl-101f,O0,arm,27,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_mont_group_init@00120a24.c,openssl-101u,O0,mips,79,./data/decomp/openssl-101u_mips_gcc_O0_extraction/ec_GFp_nist_group_copy@00627470.c,0
openssl-101f,O0,arm,28,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_get_Jprojective_coordinates_GFp@00122b5c.c,openssl-101u,O2,mips,36,./data/decomp/openssl-101u_mips_gcc_O2_extraction/ec_GFp_simple_point_copy@0062e774.c,0
openssl-101f,O0,arm,29,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_check_discriminant@00122c6c.c,openssl-101f,O2,x86,24,./data/decomp/openssl-101f_x86_gcc_O2_extraction/dlfcn_globallookup@081e4070.c,0
openssl-101f,O0,arm,30,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_clear_finish@00122914.c,openssl-101f,O1,arm,30,./data/decomp/openssl-101f_arm_gcc_O1_extraction/ec_GFp_simple_group_clear_finish@00122914.c,1
openssl-101f,O0,arm,31,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_copy@001232e8.c,openssl-101f,O3,mips,31,./data/decomp/openssl-101f_mips_gcc_O3_extraction/ec_GFp_simple_group_copy@0062f054.c,1
openssl-101f,O0,arm,32,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_get_degree@00122954.c,openssl-101f,O0,x86,32,./data/decomp/openssl-101f_x86_gcc_O0_extraction/ec_GFp_simple_group_get_degree@081e71a0.c,1
openssl-101f,O0,arm,33,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_set_curve@0012335c.c,openssl-101f,O1,mips,33,./data/decomp/openssl-101f_mips_gcc_O1_extraction/ec_GFp_simple_group_set_curve@0062f194.c,1
openssl-101f,O0,arm,34,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_invert@00123a50.c,openssl-101u,O0,x86,34,./data/decomp/openssl-101u_x86_gcc_O0_extraction/ec_GFp_simple_invert@081e9390.c,1
openssl-101f,O0,arm,30,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_clear_finish@00122914.c,openssl-101u,O0,x86,23,./data/decomp/openssl-101u_x86_gcc_O0_extraction/dlfcn_bind_var@081e4700.c,0
openssl-101f,O0,arm,31,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_copy@001232e8.c,openssl-101f,O3,mips,81,./data/decomp/openssl-101f_mips_gcc_O3_extraction/general_allocate_boolean.constprop.5@005b32bc.c,0
openssl-101f,O0,arm,32,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_get_degree@00122954.c,openssl-101u,O3,arm,37,./data/decomp/openssl-101u_arm_gcc_O3_extraction/ec_GFp_simple_point_finish@001215d4.c,0
openssl-101f,O0,arm,33,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_group_set_curve@0012335c.c,openssl-101f,O3,mips,89,./data/decomp/openssl-101f_mips_gcc_O3_extraction/SSL_SESSION_free.part.2@004b0e94.c,0
openssl-101f,O0,arm,34,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_invert@00123a50.c,openssl-101u,O2,x86,95,./data/decomp/openssl-101u_x86_gcc_O2_extraction/doapr_outch.constprop.0@0811a260.c,0
openssl-101f,O0,arm,35,./data/decomp/openssl-101f_arm_gcc_O0_extraction/EC_GFp_simple_method@00124068.c,openssl-101u,O3,mips,35,./data/decomp/openssl-101u_mips_gcc_O3_extraction/EC_GFp_simple_method@0063055c.c,1
openssl-101f,O0,arm,36,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_copy@00123324.c,openssl-101f,O2,mips,36,./data/decomp/openssl-101f_mips_gcc_O2_extraction/ec_GFp_simple_point_copy@0062f0f4.c,1
openssl-101f,O0,arm,37,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_finish@001228f4.c,openssl-101f,O2,x86,37,./data/decomp/openssl-101f_x86_gcc_O2_extraction/ec_GFp_simple_point_finish@081e7100.c,1
openssl-101f,O0,arm,38,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_get_affine_coordinates@00122dd4.c,openssl-101f,O0,x86,38,./data/decomp/openssl-101f_x86_gcc_O0_extraction/ec_GFp_simple_point_get_affine_coordinates@081e7910.c,1
openssl-101f,O0,arm,39,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_set_affine_coordinates@0012347c.c,openssl-101u,O3,x86,39,./data/decomp/openssl-101u_x86_gcc_O3_extraction/ec_GFp_simple_point_set_affine_coordinates@081e88d0.c,1
openssl-101f,O0,arm,35,./data/decomp/openssl-101f_arm_gcc_O0_extraction/EC_GFp_simple_method@00124068.c,openssl-101u,O2,mips,48,./data/decomp/openssl-101u_mips_gcc_O2_extraction/GOST_KEY_PARAMS_new@0061c260.c,0
openssl-101f,O0,arm,36,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_copy@00123324.c,openssl-101f,O3,x86,76,./data/decomp/openssl-101f_x86_gcc_O3_extraction/cswift_rand_bytes@081a0320.c,0
openssl-101f,O0,arm,37,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_finish@001228f4.c,openssl-101f,O2,x86,27,./data/decomp/openssl-101f_x86_gcc_O2_extraction/ec_GFp_mont_group_init@081e2420.c,0
openssl-101f,O0,arm,38,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_get_affine_coordinates@00122dd4.c,openssl-101f,O0,x86,77,./data/decomp/openssl-101f_x86_gcc_O0_extraction/dgram_ctrl@08120f10.c,0
openssl-101f,O0,arm,39,./data/decomp/openssl-101f_arm_gcc_O0_extraction/ec_GFp_simple_point_set_affine_coordinates@0012347c.c,openssl-101f,O2,arm,71,./data/decomp/openssl-101f_arm_gcc_O2_extraction/___armv7_tick_from_thumb@00124cd8.c,0
openssl-101f,O0,arm,40,./data/decomp/openssl-101f_arm_gcc_O0_extraction/encode_gost_algor_params@0011a494.c,openssl-101f,O3,arm,40,./data/decomp/openssl-101f_arm_gcc_O3_extraction/encode_gost_algor_params@0011a494.c,1
openssl-101f,O0,arm,41,./data/decomp/openssl-101f_arm_gcc_O0_extraction/get_gost_engine_param@0011c1d4.c,openssl-101u,O2,x86,41,./data/decomp/openssl-101u_x86_gcc_O2_extraction/get_gost_engine_param@081db600.c,1
openssl-101f,O0,arm,42,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost2001_param_encode@0011a024.c,openssl-101f,O3,x86,42,./data/decomp/openssl-101f_x86_gcc_O3_extraction/gost2001_param_encode@081d7de0.c,1
openssl-101f,O0,arm,43,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_cleanup@0011b394.c,openssl-101u,O0,mips,43,./data/decomp/openssl-101u_mips_gcc_O0_extraction/gost_cipher_cleanup@0061c5f0.c,1
openssl-101f,O0,arm,44,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_ctl@0011b7dc.c,openssl-101f,O0,x86,44,./data/decomp/openssl-101f_x86_gcc_O0_extraction/gost_cipher_ctl@081da4a0.c,1
openssl-101f,O0,arm,40,./data/decomp/openssl-101f_arm_gcc_O0_extraction/encode_gost_algor_params@0011a494.c,openssl-101u,O2,x86,89,./data/decomp/openssl-101u_x86_gcc_O2_extraction/SSL_SESSION_free.part.2@080c3230.c,0
openssl-101f,O0,arm,41,./data/decomp/openssl-101f_arm_gcc_O0_extraction/get_gost_engine_param@0011c1d4.c,openssl-101u,O3,arm,56,./data/decomp/openssl-101u_arm_gcc_O3_extraction/param_print_gost01@001199e4.c,0
openssl-101f,O0,arm,42,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost2001_param_encode@0011a024.c,openssl-101f,O3,x86,80,./data/decomp/openssl-101f_x86_gcc_O3_extraction/ec_GFp_nist_group_set_curve@081e29c0.c,0
openssl-101f,O0,arm,43,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_cleanup@0011b394.c,openssl-101u,O2,x86,73,./data/decomp/openssl-101u_x86_gcc_O2_extraction/BN_get0_nist_prime_224@081e58e0.c,0
openssl-101f,O0,arm,44,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_ctl@0011b7dc.c,openssl-101u,O3,mips,80,./data/decomp/openssl-101u_mips_gcc_O3_extraction/ec_GFp_nist_group_set_curve@00627488.c,0
openssl-101f,O0,arm,45,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_init@0011c020.c,openssl-101f,O0,mips,45,./data/decomp/openssl-101f_mips_gcc_O0_extraction/gost_cipher_init@0061ea98.c,1
openssl-101f,O0,arm,46,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_CIPHER_PARAMS_new@0011b224.c,openssl-101u,O2,arm,46,./data/decomp/openssl-101u_arm_gcc_O2_extraction/GOST_CIPHER_PARAMS_new@00119eb4.c,1
openssl-101f,O0,arm,47,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_imit_init_cpa@0011b788.c,openssl-101f,O2,arm,47,./data/decomp/openssl-101f_arm_gcc_O2_extraction/gost_imit_init_cpa@0011b788.c,1
openssl-101f,O0,arm,48,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_KEY_PARAMS_new@0011b1f4.c,openssl-101f,O0,mips,48,./data/decomp/openssl-101f_mips_gcc_O0_extraction/GOST_KEY_PARAMS_new@0061cc50.c,1
openssl-101f,O0,arm,49,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_KEY_TRANSPORT_free@0011b170.c,openssl-101f,O3,mips,49,./data/decomp/openssl-101f_mips_gcc_O3_extraction/GOST_KEY_TRANSPORT_free@0061cb48.c,1
openssl-101f,O0,arm,45,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_cipher_init@0011c020.c,openssl-101u,O2,mips,19,./data/decomp/openssl-101u_mips_gcc_O2_extraction/d2i_GOST_KEY_PARAMS@0061c230.c,0
openssl-101f,O0,arm,46,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_CIPHER_PARAMS_new@0011b224.c,openssl-101f,O1,mips,32,./data/decomp/openssl-101f_mips_gcc_O1_extraction/ec_GFp_simple_group_get_degree@0062dbb4.c,0
openssl-101f,O0,arm,47,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_imit_init_cpa@0011b788.c,openssl-101f,O3,mips,83,./data/decomp/openssl-101f_mips_gcc_O3_extraction/gost_imit_final@0061e800.c,0
openssl-101f,O0,arm,48,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_KEY_PARAMS_new@0011b1f4.c,openssl-101u,O3,x86,44,./data/decomp/openssl-101u_x86_gcc_O3_extraction/gost_cipher_ctl@081da6f0.c,0
openssl-101f,O0,arm,49,./data/decomp/openssl-101f_arm_gcc_O0_extraction/GOST_KEY_TRANSPORT_free@0011b170.c,openssl-101u,O0,mips,25,./data/decomp/openssl-101u_mips_gcc_O0_extraction/ec_GFp_mont_field_encode@0062730c.c,0
openssl-101f,O0,arm,50,./data/decomp/openssl-101f_arm_gcc_O0_extraction/gost_param_free@0011c17c.c,openssl-101u,O1,mips,50,./data/decomp/openssl-101u_mips_gcc_O1_extraction/gost_param_free@0061e380.c,1
openssl-101f,O0,arm,51,./data/decomp/openssl-101f_arm_gcc_O0_extraction/hash_step@0011c248.c,openssl-101u,O0,x86,51,./data/decomp/openssl-101u_x86_gcc_O0_extraction/hash_step@081db6d0.c,1
openssl-101f,O0,arm,52,./data/decomp/openssl-101f_arm_gcc_O0_extraction/i2d_GOST_KEY_AGREEMENT_INFO@0011b1b8.c,openssl-101f,O1,x86,52,./data/decomp/openssl-101f_x86_gcc_O1_extraction/i2d_GOST_KEY_AGREEMENT_INFO@081d9b90.c,1
openssl-101f,O0,arm,53,./data/decomp/openssl-101f_arm_gcc_O0_extraction/i2d_GOST_KEY_TRANSPORT@0011b158.c,openssl-101u,O3,mips,53,./data/decomp/openssl-101u_mips_gcc_O3_extraction/i2d_GOST_KEY_TRANSPORT@0061c128.c,1
openssl-101f,O0,arm,54,./data/decomp/openssl-101f_arm_gcc_O0_extraction/mul_1x1_ialu@001225e0.c,openssl-101f,O1,arm,54,./data/decomp/openssl-101f_arm_gcc_O1_extraction/mul_1x1_ialu@001225e0.c,1
