src,f_name,succs,n_num,features,sw,op,arch,file_name
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_div_arr,"[[], [0], [0, 5], [1, 5], [3, 6], [2, 6], []]",7,"[[1, 0, 0, 0, 0, 12, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 4, 0, 0, 3, 0, 0], [2, 0, 5, 0, 0, 6, 0, 0], [1, 0, 6, 0, 0, 12, 0, 0], [1, 0, 4, 0, 0, 4, 0, 0], [2, 0, 0, 0, 0, 6, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div_arr@0012031c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_mul,"[[8], [0, 15], [9, 10], [2, 4], [2], [1, 7], [16, 5], [12], [13, 7], [8, 11], [3], [9, 14], [16], [12], [3], [11], []]",17,"[[1, 0, 5, 0, 0, 2, 0, 0], [1, 0, 14, 0, 0, 2, 0, 0], [1, 0, 12, 0, 0, 3, 0, 0], [0, 0, 12, 0, 0, 3, 0, 0], [1, 0, 12, 0, 0, 4, 0, 0], [1, 0, 15, 0, 0, 3, 0, 0], [6, 0, 16, 0, 0, 18, 0, 0], [6, 0, 2, 0, 0, 9, 0, 0], [4, 0, 4, 0, 0, 12, 0, 0], [3, 0, 12, 0, 0, 4, 0, 0], [0, 0, 12, 0, 0, 1, 0, 0], [0, 0, 12, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 2, 0, 0, 8, 0, 0], [2, 0, 12, 0, 0, 3, 0, 0], [2, 0, 12, 0, 0, 5, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul@0011fc6c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_mul_arr,"[[16, 13], [0, 5], [3, 15], [2, 15], [], [4], [4], [11, 7], [7], [17, 10], [8, 9], [9], [17, 10], [12, 14], [12], [6], [13, 5], [20, 6], [1, 19], [], [3]]",21,"[[1, 0, 17, 0, 0, 8, 0, 0], [1, 0, 18, 0, 0, 7, 0, 0], [1, 0, 5, 0, 0, 2, 0, 0], [1, 0, 5, 0, 0, 3, 0, 0], [1, 0, 0, 0, 0, 5, 0, 0], [1, 0, 1, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 7, 0, 0], [7, 0, 12, 0, 0, 36, 0, 0], [2, 0, 12, 0, 0, 5, 0, 0], [1, 0, 12, 0, 0, 3, 0, 0], [3, 0, 12, 0, 0, 12, 0, 0], [0, 0, 12, 0, 0, 3, 0, 0], [2, 0, 12, 0, 0, 7, 0, 0], [1, 0, 14, 0, 0, 3, 0, 0], [2, 0, 13, 0, 0, 4, 0, 0], [0, 0, 2, 0, 0, 1, 0, 0], [1, 0, 16, 0, 0, 4, 0, 0], [1, 0, 6, 0, 0, 3, 0, 0], [1, 0, 20, 0, 0, 8, 0, 0], [1, 0, 0, 0, 0, 5, 0, 0], [2, 0, 5, 0, 0, 5, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul_arr@0011fb08.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_sqr,"[[8], [0], [0], [12, 13], [3, 5], [3], [1, 10], [8, 6], [], [11], [16, 9], [1, 2], [4], [11, 14], [13, 15], [4], [14]]",17,"[[0, 0, 1, 0, 0, 2, 0, 0], [6, 0, 2, 0, 0, 9, 0, 0], [0, 0, 2, 0, 0, 6, 0, 0], [1, 0, 12, 0, 0, 3, 0, 0], [0, 0, 12, 0, 0, 3, 0, 0], [1, 0, 12, 0, 0, 4, 0, 0], [1, 0, 15, 0, 0, 3, 0, 0], [6, 0, 16, 0, 0, 18, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0], [1, 0, 5, 0, 0, 2, 0, 0], [1, 0, 14, 0, 0, 2, 0, 0], [4, 0, 4, 0, 0, 13, 0, 0], [0, 0, 12, 0, 0, 1, 0, 0], [3, 0, 12, 0, 0, 4, 0, 0], [0, 0, 12, 0, 0, 2, 0, 0], [2, 0, 12, 0, 0, 3, 0, 0], [2, 0, 12, 0, 0, 5, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr@0011fd4c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_sqrt,"[[22], [0, 9], [14], [2, 11], [1, 21], [4], [4, 13], [8, 15], [10, 21], [11, 3], [12, 5], [14], [13], [16, 6], [15], [], [19], [19], [17, 6], [18, 20], [18], [22], []]",23,"[[1, 0, 1, 0, 0, 4, 0, 0], [0, 0, 8, 0, 0, 2, 0, 0], [0, 0, 2, 0, 0, 8, 0, 0], [1, 0, 4, 0, 0, 4, 0, 0], [4, 0, 10, 0, 0, 13, 0, 0], [1, 0, 11, 0, 0, 2, 0, 0], [3, 0, 18, 0, 0, 4, 0, 0], [6, 0, 22, 0, 0, 18, 0, 0], [1, 0, 21, 0, 0, 3, 0, 0], [0, 0, 5, 0, 0, 6, 0, 0], [1, 0, 20, 0, 0, 2, 0, 0], [1, 0, 2, 0, 0, 1, 0, 0], [2, 0, 18, 0, 0, 5, 0, 0], [0, 0, 18, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 4, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0], [2, 0, 18, 0, 0, 3, 0, 0], [0, 0, 18, 0, 0, 1, 0, 0], [1, 0, 18, 0, 0, 3, 0, 0], [0, 0, 18, 0, 0, 3, 0, 0], [1, 0, 18, 0, 0, 4, 0, 0], [6, 0, 1, 0, 0, 8, 0, 0], [1, 0, 0, 0, 0, 5, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqrt@0012057c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_sqr_arr,"[[8, 4], [2, 3], [1, 3], [13], [], [14], [11, 5], [9, 12], [6, 7], [6], [2], [10, 13], [], [], [14, 15], [11]]",16,"[[1, 0, 15, 0, 0, 12, 0, 0], [1, 0, 4, 0, 0, 2, 0, 0], [0, 0, 4, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [2, 0, 8, 0, 0, 6, 0, 0], [1, 0, 9, 0, 0, 2, 0, 0], [0, 0, 12, 0, 0, 2, 0, 0], [1, 0, 13, 0, 0, 7, 0, 0], [0, 0, 10, 0, 0, 2, 0, 0], [2, 0, 4, 0, 0, 4, 0, 0], [2, 0, 5, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 5, 0, 0], [1, 0, 0, 0, 0, 11, 0, 0], [9, 0, 8, 0, 0, 30, 0, 0], [0, 0, 6, 0, 0, 1, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_sqr_arr@0011f9e4.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,bn_GF2m_mul_2x2,"[[], [0, 2], [3], []]",4,"[[2, 0, 0, 0, 0, 29, 0, 0], [1, 0, 3, 0, 0, 4, 0, 0], [2, 0, 1, 0, 0, 7, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/bn_GF2m_mul_2x2@00122700.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_kronecker,"[[6], [0, 2], [0], [27, 15], [34, 3], [24, 40], [5, 7], [8, 5], [5], [1, 6], [48, 21], [10, 12], [10], [48, 46], [13, 23], [27], [27], [16, 42], [32], [18, 20], [18], [33, 38], [14], [14], [22], [11], [25, 49], [], [43, 27], [27], [27], [11, 35], [26, 31], [22], [36, 37], [11], [43, 37], [28, 29], [29, 39], [29, 30], [38], [48, 4], [48, 41], [45], [45], [44, 47], [32, 19], [48, 9], [], [11]]",50,"[[1, 0, 31, 0, 0, 2, 0, 0], [0, 0, 33, 0, 0, 2, 0, 0], [1, 0, 32, 0, 0, 3, 0, 0], [1, 0, 2, 0, 0, 4, 0, 0], [0, 0, 45, 0, 0, 3, 0, 0], [1, 0, 27, 0, 0, 2, 0, 0], [0, 0, 30, 0, 0, 2, 0, 0], [1, 0, 29, 0, 0, 4, 0, 0], [1, 0, 28, 0, 0, 1, 0, 0], [2, 0, 34, 0, 0, 5, 0, 0], [1, 0, 25, 0, 0, 7, 0, 0], [0, 0, 25, 0, 0, 1, 0, 0], [2, 0, 25, 0, 0, 6, 0, 0], [1, 0, 25, 0, 0, 6, 0, 0], [1, 0, 25, 0, 0, 5, 0, 0], [1, 0, 1, 0, 0, 6, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0], [0, 0, 49, 0, 0, 13, 0, 0], [0, 0, 25, 0, 0, 2, 0, 0], [0, 0, 25, 0, 0, 2, 0, 0], [1, 0, 25, 0, 0, 3, 0, 0], [0, 0, 25, 0, 0, 3, 0, 0], [1, 0, 25, 0, 0, 2, 0, 0], [1, 0, 25, 0, 0, 1, 0, 0], [3, 0, 25, 0, 0, 3, 0, 0], [1, 0, 25, 0, 0, 2, 0, 0], [0, 0, 25, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 4, 0, 0], [1, 0, 39, 0, 0, 4, 0, 0], [1, 0, 1, 0, 0, 2, 0, 0], [2, 0, 1, 0, 0, 5, 0, 0], [1, 0, 25, 0, 0, 3, 0, 0], [0, 0, 25, 0, 0, 2, 0, 0], [0, 0, 25, 0, 0, 4, 0, 0], [1, 0, 42, 0, 0, 2, 0, 0], [0, 0, 25, 0, 0, 3, 0, 0], [1, 0, 41, 0, 0, 4, 0, 0], [1, 0, 40, 0, 0, 2, 0, 0], [1, 0, 4, 0, 0, 3, 0, 0], [1, 0, 3, 0, 0, 4, 0, 0], [0, 0, 5, 0, 0, 1, 0, 0], [1, 0, 46, 0, 0, 5, 0, 0], [0, 0, 47, 0, 0, 4, 0, 0], [1, 0, 38, 0, 0, 2, 0, 0], [1, 0, 38, 0, 0, 1, 0, 0], [1, 0, 38, 0, 0, 5, 0, 0], [1, 0, 25, 0, 0, 3, 0, 0], [1, 0, 35, 0, 0, 6, 0, 0], [1, 0, 0, 0, 0, 4, 0, 0], [0, 0, 25, 0, 0, 3, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_kronecker@0011ef30.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS,"[[], [0]]",2,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_CLIENT_KEY_EXCHANGE_PARAMS@0011b23c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,d2i_GOST_KEY_PARAMS,"[[], [0]]",2,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/d2i_GOST_KEY_PARAMS@0011b1dc.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,decode_gost_algor_params,"[[11, 13], [0, 12], [1, 5], [8, 6], [3, 6], [10], [], [10], [7], [14, 7], [], [10, 4], [10], [9, 14], []]",15,"[[1, 0, 10, 0, 0, 11, 0, 0], [1, 0, 12, 0, 0, 11, 0, 0], [6, 0, 14, 0, 0, 15, 0, 0], [1, 0, 4, 0, 0, 8, 0, 0], [0, 0, 5, 0, 0, 4, 0, 0], [4, 0, 1, 0, 0, 7, 0, 0], [3, 0, 0, 0, 0, 8, 0, 0], [1, 0, 1, 0, 0, 2, 0, 0], [0, 0, 2, 0, 0, 1, 0, 0], [1, 0, 3, 0, 0, 8, 0, 0], [1, 0, 0, 0, 0, 2, 0, 0], [2, 0, 6, 0, 0, 4, 0, 0], [5, 0, 1, 0, 0, 8, 0, 0], [0, 0, 4, 0, 0, 4, 0, 0], [3, 0, 0, 0, 0, 8, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/decode_gost_algor_params@00119d30.c
